uuid,popularity,name,title,role,language,gender,culture,dateOfBirth,DateoFdeath,age,mother,father,heir,house,spouse,killer
6,1,Tommen Baratheon,Prince,prince,Common,1,Andals,,,,Cersei Lannister,Robert Baratheon (Jaime Lannister),Myrcella Baratheon,House Baratheon,,
51,1,Joffrey Baratheon,Prince,prince,Common,1,Andals,,,,Cersei Lannister,Robert Baratheon (Jaime Lannister),Tommen Baratheon,House Baratheon,,
55,1,Margaery Tyrell,,lady,Common,0,Andals,283,,22,,Mace Tyrell,,House Tyrell,,
102,1,Robb Stark,,lord,Common,1,"First Men, Northmen",,,,Catelyn Stark,Eddard Stark,,House Stark,,
173,1,Stannis Baratheon,"Lord of Dragonstone, Lord of Ships",lord,Common,1,Andals,,,,Cassana Estermont,Steffon Baratheon,Shireen Baratheon,House Baratheon,Selyse Florent,
1467,1,Arya Stark,,lady,Common,0,"First Men, Northmen",289,,16,Catelyn Stark,Eddard Stark,,House Stark,,
1475,1,Bran Stark,,lord,Common,1,"First Men, Northmen",290,,15,Catelyn Stark,Eddard Stark,,House Stark,,
1482,1,Cersei Lannister,Queen,queen,Common,0,Andals,266,,39,Joanna Lannister,Tywin Lannister,,House Lannister,Robert Baratheon,
1652,1,Barristan Selmy,"Ser, Lord Commander","kingsguard, knight",Common,1,Andals,236,,69,,,,Kingsguard,,
1678,1,Daenerys Targaryen,"Princess, Khaleesi","princess, khaleesi","Common, High Valyrian, Low Valyrian, Dothraki",0,Valyrian,284,,21,Rhaella Targaryen,Aerys Targaryen,,House Targaryen,Drogo,
1689,1,Eddard Stark,"Ned, Lord of Winterfell, Warden of the North",lord,Common,1,"First Men, Northmen",263,299,36,,Rickard Stark,Robb Stark,House Stark,Catelyn Tully,
1742,1,Jaime Lannister,"Ser, Kingslayer","kingsguard, knight",Common,1,Andals,266,,39,Joanna Lannister,Tywin Lannister,,Kingsguard,,
1750,1,Jon Snow,"Bastard, Lord Snow",recruit of the Night's Watch,Common,1,"First Men, Northmen",283,,22,Wylla (Lyanna Stark),Eddard Stark (Rhaegar Targaryen),,House Stark,,
